symbol,ds,current_variable_debt
USDC,2022-03-07,1583131110.53195
USDC,2022-03-06,1611340066.173986
USDC,2022-03-05,1617376250.461792
USDC,2022-03-04,1610468109.083408
USDC,2022-03-03,1558973405.448652
USDC,2022-03-02,1548327012.375232
USDC,2022-03-01,1547428280.825338
USDC,2022-02-28,1537956292.275692
USDC,2022-02-27,1519309522.79988
USDC,2022-02-26,1520464694.107847
USDC,2022-02-25,1504104695.18065
USDC,2022-02-24,1375279564.882773
USDC,2022-02-23,1307225860.220515
USDC,2022-02-22,1313535406.161169
USDC,2022-02-21,1330945878.943713
USDC,2022-02-20,1365723269.593189
USDC,2022-02-19,1426414361.084547
USDC,2022-02-18,1425497726.601647
USDC,2022-02-17,1447171436.487728
USDC,2022-02-16,1453488386.522049
USDC,2022-02-15,1471910415.617831
USDC,2022-02-14,1557499564.538734
USDC,2022-02-13,1556288320.304083
USDC,2022-02-12,1573341050.050674
USDC,2022-02-11,1546429153.513488
USDC,2022-02-10,1596689554.012589
USDC,2022-02-09,1440204318.671847
USDC,2022-02-08,1445219842.909755
USDC,2022-02-07,1472824021.494389
USDC,2022-02-06,1519233763.579084
USDC,2022-02-05,1503661318.67773
USDC,2022-02-04,1503344501.244995
USDC,2022-02-03,1524897240.40967
USDC,2022-02-02,1499790580.84717
USDC,2022-02-01,1371596067.205016
USDC,2022-01-31,1480842300.360412
USDC,2022-01-30,1433593860.818179
USDC,2022-01-29,1443068978.98466
USDC,2022-01-28,1422742337.652889
USDC,2022-01-27,1522869112.811021
USDC,2022-01-26,1503428576.071063
USDC,2022-01-25,1503958864.062096
USDC,2022-01-24,1439233137.949242
USDC,2022-01-23,1510575545.437496
USDC,2022-01-22,1531979521.989231
USDC,2022-01-21,1695349844.02793
USDC,2022-01-20,2234942015.594182
USDC,2022-01-19,2233828511.450172
USDC,2022-01-18,2213966466.792947
USDC,2022-01-17,2221444558.246199
USDC,2022-01-16,2202754648.621474
USDC,2022-01-15,2209573714.306456
USDC,2022-01-14,2190814983.493753
USDC,2022-01-13,2190523322.620227
USDC,2022-01-12,2134915141.501827
USDC,2022-01-11,2126756771.951856
USDC,2022-01-10,2137584996.145426
USDC,2022-01-09,2189605623.656667
USDC,2022-01-08,2194506156.478369
USDC,2022-01-07,2234388641.70125
USDC,2022-01-06,2201328655.675636
USDC,2022-01-05,2233711842.362347
USDC,2022-01-04,2282407989.747943
USDC,2022-01-03,2254281539.934044
USDC,2022-01-02,2254877982.19494
USDC,2022-01-01,2153777825.125856
USDC,2021-12-31,2215487402.211354
USDC,2021-12-30,2384454105.619732
USDC,2021-12-29,2447406235.290456
USDC,2021-12-28,2462862615.671103
USDC,2021-12-27,2457970335.442718
USDC,2021-12-26,2445290414.388878
USDC,2021-12-25,2477594448.076184
USDC,2021-12-24,2598887004.687795
USDC,2021-12-23,2577951155.712208
USDC,2021-12-22,2576619482.716543
USDC,2021-12-21,2588455320.974104
USDC,2021-12-20,2531789306.186905
USDC,2021-12-19,2525901497.27848
USDC,2021-12-18,2509557718.702384
USDC,2021-12-17,2528682428.67816
USDC,2021-12-16,2503358787.857212
USDC,2021-12-15,2544046399.612072
USDC,2021-12-14,2584180271.171436
USDC,2021-12-13,2597631033.418164
USDC,2021-12-12,2678856497.692317
USDC,2021-12-11,2673842529.556602
USDC,2021-12-10,2763998246.315226
USDC,2021-12-09,2782038148.837681
USDC,2021-12-08,2785288527.985641
USDC,2021-12-07,2739191187.412157
USDC,2021-12-06,2735077586.971445
USDC,2021-12-05,2774437566.347299
USDC,2021-12-04,2785160112.756144
USDC,2021-12-03,2895173363.53148
USDC,2021-12-02,2886709156.152972
USDC,2021-12-01,2871632178.204177
USDC,2021-11-30,2863716427.769542
USDC,2021-11-29,2864583311.797741
USDC,2021-11-28,2870680730.923638
USDC,2021-11-27,2920226888.448742
USDC,2021-11-26,2933177691.820785
USDC,2021-11-25,2790980469.382716
USDC,2021-11-24,2783916904.246033
USDC,2021-11-23,2787666433.680106
USDC,2021-11-22,2868004165.292713
USDC,2021-11-21,2858179691.625604
USDC,2021-11-20,2853811603.297559
USDC,2021-11-19,2776904094.893553
USDC,2021-11-18,2779960937.676909
USDC,2021-11-17,2789614088.683386
USDC,2021-11-16,2829835664.788501
USDC,2021-11-15,2901922675.400202
USDC,2021-11-14,2840380914.954025
USDC,2021-11-13,2854737427.199442
USDC,2021-11-12,2872705971.272909
USDC,2021-11-11,2920454296.307316
USDC,2021-11-10,2922276649.295068
USDC,2021-11-09,2994409314.933798
USDC,2021-11-08,2992211501.905507
USDC,2021-11-07,2997416943.446793
USDC,2021-11-06,3001512160.110543
USDC,2021-11-05,3052809507.160453
USDC,2021-11-04,3032493705.707597
USDC,2021-11-03,3124788683.765282
USDC,2021-11-02,3186762792.886842
USDC,2021-11-01,3163389789.070985
USDC,2021-10-31,3186338736.474831
USDC,2021-10-30,3203851411.064036
USDC,2021-10-29,3149914097.487747
USDC,2021-10-28,3071331579.985943
USDC,2021-10-27,3036406319.386929
USDC,2021-10-26,3041462389.907112
USDC,2021-10-25,3037379390.848924
USDC,2021-10-24,3018871713.571544
USDC,2021-10-23,2984969188.404889
USDC,2021-10-22,2954263170.835412
USDC,2021-10-21,3027975897.548846
USDC,2021-10-20,3114061268.037853
USDC,2021-10-19,3164639463.190607
USDC,2021-10-18,3165400539.663853
USDC,2021-10-17,3101862155.893188
USDC,2021-10-16,3108619212.736234
USDC,2021-10-15,3146260883.933614
USDC,2021-10-14,3133811410.71326
USDC,2021-10-13,3199319010.495408
USDC,2021-10-12,2324934401.315178
USDC,2021-10-11,2211147723.870079
USDC,2021-10-10,2174054529.51513
USDC,2021-10-09,2171557468.425211
USDC,2021-10-08,2161075382.434106
USDC,2021-10-07,2240918873.459522
USDC,2021-10-06,2259643202.378883
USDC,2021-10-05,2253156563.561835
USDC,2021-10-04,2333005935.563084
USDC,2021-10-03,2341275333.192882
USDC,2021-10-02,2409757588.515796
USDC,2021-10-01,2367745216.463306
USDC,2021-09-30,2382492750.765522
USDC,2021-09-29,3647776071.436273
USDC,2021-09-28,3673853579.523663
